aggregation,malicious_fraction,seed,round,loss,lr,val_accuracy,val_macro_f1,val_asr
fedavg,0.0,42,1,0.9952,6.67e-05,0.7184,0.2754,
fedavg,0.0,42,2,0.8629,0.000133,0.7554,0.3978,
fedavg,0.0,42,3,0.8053,0.0002,0.7757,0.4908,
fedavg,0.0,42,4,0.7369,0.0002,0.7841,0.5422,
fedavg,0.0,42,5,0.6991,0.000199,0.7883,0.523,
fedavg,0.0,42,6,0.6686,0.000197,0.7987,0.592,
fedavg,0.0,42,7,0.6399,0.000194,0.8092,0.653,
fedavg,0.0,42,8,0.6174,0.000189,0.805,0.6306,
fedavg,0.0,42,9,0.5959,0.000183,0.8092,0.6468,
fedavg,0.0,42,10,0.5805,0.000176,0.8134,0.6406,
fedavg,0.0,42,11,0.5678,0.000168,0.8127,0.6381,
fedavg,0.0,42,12,0.5466,0.000159,0.8134,0.6436,
fedavg,0.0,42,13,0.5343,0.000149,0.8134,0.6444,
fedavg,0.0,42,14,0.5174,0.000139,0.8134,0.6376,
fedavg,0.0,42,15,0.5054,0.000128,0.8148,0.6318,
fedavg,0.0,42,16,0.4838,0.000116,0.8127,0.6427,
fedavg,0.0,42,17,0.4808,0.000105,0.8169,0.6521,
fedavg,0.0,42,18,0.4704,9.35e-05,0.8134,0.6437,
fedavg,0.0,42,19,0.4564,8.23e-05,0.8162,0.6542,
fedavg,0.0,42,20,0.4555,7.13e-05,0.8134,0.653,
fedavg,0.0,42,21,0.4448,6.09e-05,0.8148,0.6446,
fedavg,0.0,42,22,0.4341,5.1e-05,0.8169,0.6711,
fedavg,0.0,42,23,0.4317,4.2e-05,0.8162,0.6653,
fedavg,0.0,42,24,0.4248,3.39e-05,0.8162,0.6673,
fedavg,0.0,42,25,0.4214,2.68e-05,0.8127,0.6534,
fedavg,0.0,42,26,0.4172,2.09e-05,0.8106,0.6471,
fedavg,0.0,42,27,0.4181,1.62e-05,0.8134,0.6583,
fedavg,0.0,42,28,0.4204,1.28e-05,0.8134,0.6496,
fedavg,0.0,42,29,0.4167,1.07e-05,0.8141,0.6654,
fedavg,0.0,42,30,0.4167,1e-05,0.812,0.6564,
trust,0.0,42,1,0.9952,6.67e-05,0.7177,0.2745,
trust,0.0,42,2,0.8632,0.000133,0.7589,0.4283,
trust,0.0,42,3,0.8062,0.0002,0.7757,0.4965,
trust,0.0,42,4,0.7371,0.0002,0.7848,0.5339,
trust,0.0,42,5,0.7005,0.000199,0.7904,0.5209,
trust,0.0,42,6,0.6704,0.000197,0.8008,0.5913,
trust,0.0,42,7,0.6421,0.000194,0.8064,0.6357,
trust,0.0,42,8,0.6193,0.000189,0.8043,0.6205,
trust,0.0,42,9,0.5963,0.000183,0.8092,0.6494,
trust,0.0,42,10,0.581,0.000176,0.8148,0.6419,
trust,0.0,42,11,0.5681,0.000168,0.8148,0.6433,
trust,0.0,42,12,0.5473,0.000159,0.8141,0.6412,
trust,0.0,42,13,0.534,0.000149,0.8162,0.6426,
trust,0.0,42,14,0.5194,0.000139,0.8176,0.6388,
trust,0.0,42,15,0.5065,0.000128,0.8162,0.6384,
trust,0.0,42,16,0.4856,0.000116,0.8127,0.6343,
trust,0.0,42,17,0.4819,0.000105,0.819,0.6526,
trust,0.0,42,18,0.4726,9.35e-05,0.8176,0.6434,
trust,0.0,42,19,0.4578,8.23e-05,0.8148,0.6325,
trust,0.0,42,20,0.4563,7.13e-05,0.8169,0.6534,
trust,0.0,42,21,0.4451,6.09e-05,0.8134,0.6298,
trust,0.0,42,22,0.4361,5.1e-05,0.8197,0.6578,
trust,0.0,42,23,0.4332,4.2e-05,0.8148,0.6368,
trust,0.0,42,24,0.4264,3.39e-05,0.8197,0.6666,
trust,0.0,42,25,0.4229,2.68e-05,0.8155,0.6517,
trust,0.0,42,26,0.4184,2.09e-05,0.8176,0.6485,
trust,0.0,42,27,0.4204,1.62e-05,0.8162,0.6469,
trust,0.0,42,28,0.4216,1.28e-05,0.8127,0.6383,
trust,0.0,42,29,0.4183,1.07e-05,0.8155,0.6515,
trust,0.0,42,30,0.4179,1e-05,0.8155,0.6476,
fedavg,0.2,42,1,0.9151,6.67e-05,0.7009,0.1866,0.6655
fedavg,0.2,42,2,0.8054,0.000133,0.7338,0.326,0.5252
fedavg,0.2,42,3,0.7554,0.0002,0.7554,0.4056,0.446
fedavg,0.2,42,4,0.6963,0.0002,0.7645,0.4468,0.4496
fedavg,0.2,42,5,0.6617,0.000199,0.7764,0.4777,0.4784
fedavg,0.2,42,6,0.6323,0.000197,0.7701,0.4929,0.5216
fedavg,0.2,42,7,0.6095,0.000194,0.7987,0.5768,0.4137
fedavg,0.2,42,8,0.582,0.000189,0.7925,0.5712,0.3849
fedavg,0.2,42,9,0.5654,0.000183,0.8036,0.5988,0.3381
fedavg,0.2,42,10,0.5495,0.000176,0.7966,0.6014,0.4317
fedavg,0.2,42,11,0.5432,0.000168,0.8001,0.5957,0.4029
fedavg,0.2,42,12,0.5226,0.000159,0.7918,0.5784,0.4388
